date,symbol,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment
2024-01-21 11:00:00,NVDA,6,0,0,0,3,0,1127,0,0.0,0.0
2024-01-21 10:00:00,NVDA,2,0,0,0,1,0,0,0,0.7003,0.0
2024-01-21 09:00:00,NVDA,6,0,6,0,5,0,25028,0,0.5516,0.0
2024-01-21 08:00:00,NVDA,6,0,3,0,1,0,167981,0,0.6493,0.0
2024-01-21 07:00:00,NVDA,6,0,19,0,3,0,2159,0,0.6144,0.0
2024-01-21 06:00:00,NVDA,5,0,0,0,3,0,14105,0,0.626,0.0
2024-01-21 05:00:00,NVDA,5,0,3,0,15,0,33639,0,0.6162,0.0
2024-01-21 04:00:00,NVDA,12,0,7,0,31,0,449,0,0.5607,0.0
2024-01-21 03:00:00,NVDA,7,0,4,0,15,0,3138,0,0.4838,0.0
2024-01-21 02:00:00,NVDA,7,0,2,0,12,0,6062,0,0.4275,0.0
2024-01-21 01:00:00,NVDA,18,0,21,0,60,0,47093,0,0.5229,0.0
2024-01-21 00:00:00,NVDA,14,0,15,0,33,0,40596,0,0.553,0.0
2024-01-20 23:00:00,NVDA,17,0,17,0,44,0,23624,0,0.5225,0.0
2024-01-20 22:00:00,NVDA,12,0,6,0,20,0,18813,0,0.5245,0.0
2024-01-20 21:00:00,NVDA,12,0,9,0,39,0,7905,0,0.4802,0.0
2024-01-20 20:00:00,NVDA,11,0,13,0,35,0,19856,0,0.5371,0.0
2024-01-20 19:00:00,NVDA,24,0,46,0,48,0,292380,0,0.5414,0.0
2024-01-20 18:00:00,NVDA,17,0,6,0,21,0,49639,0,0.5379,0.0
2024-01-20 17:00:00,NVDA,24,0,17,0,55,0,20788,0,0.5741,0.0
2024-01-20 16:00:00,NVDA,39,0,30,0,51,0,50739,0,0.5531,0.0
2024-01-20 15:00:00,NVDA,16,0,31,0,39,0,73396,0,0.5696,0.0
2024-01-20 14:00:00,NVDA,18,0,12,0,31,0,47563,0,0.5262,0.0
2024-01-20 13:00:00,NVDA,20,0,9,0,33,0,8645,0,0.5534,0.0
2024-01-20 12:00:00,NVDA,11,0,3,0,23,0,44522,0,0.5689,0.0
2024-01-20 11:00:00,NVDA,6,0,2,0,5,0,11705,0,0.4928,0.0
2024-01-20 10:00:00,NVDA,3,0,0,0,2,0,10202,0,0.6391,0.0
2024-01-20 09:00:00,NVDA,3,0,0,0,8,0,134,0,0.549,0.0
2024-01-20 08:00:00,NVDA,8,0,7,0,22,0,52403,0,0.6221,0.0
2024-01-20 07:00:00,NVDA,10,0,5,0,32,0,363,0,0.5852,0.0
2024-01-20 06:00:00,NVDA,12,0,5,0,16,0,282510,0,0.5781,0.0
2024-01-20 05:00:00,NVDA,7,0,9,0,14,0,713,0,0.5521,0.0
2024-01-20 04:00:00,NVDA,13,0,30,0,27,0,12584,0,0.5468,0.0
2024-01-20 03:00:00,NVDA,18,0,12,0,45,0,54536,0,0.5335,0.0
2024-01-20 02:00:00,NVDA,29,0,32,0,43,0,11104,0,0.5231,0.0
2024-01-20 01:00:00,NVDA,40,0,21,0,70,0,24953,0,0.5822,0.0
2024-01-20 00:00:00,NVDA,68,0,63,0,108,0,65548,0,0.5641,0.0
2024-01-19 23:00:00,NVDA,75,0,62,0,79,0,96060,0,0.5631,0.0
2024-01-19 22:00:00,NVDA,98,0,95,0,80,0,233558,0,0.5572,0.0
2024-01-19 21:00:00,NVDA,165,0,258,0,229,0,290831,0,0.5681,0.0
2024-01-19 20:00:00,NVDA,256,0,75,0,234,0,194179,0,0.5462,0.0
2024-01-19 19:00:00,NVDA,217,0,60,0,203,0,240888,0,0.5472,0.0
2024-01-19 18:00:00,NVDA,301,0,87,0,279,0,157784,0,0.5503,0.0
2024-01-19 17:00:00,NVDA,469,0,244,0,293,0,811887,0,0.5306,0.0
2024-01-19 16:00:00,NVDA,308,0,61,0,200,0,300129,0,0.556,0.0
2024-01-19 15:00:00,NVDA,240,0,43,0,159,0,461990,0,0.5262,0.0
2024-01-19 14:00:00,NVDA,155,0,41,0,161,0,284380,0,0.5348,0.0
2024-01-19 13:00:00,NVDA,76,0,26,0,64,0,414520,0,0.5577,0.0
2024-01-19 12:00:00,NVDA,70,0,34,0,121,0,125022,0,0.555,0.0
2024-01-19 11:00:00,NVDA,67,0,23,0,121,0,57150,0,0.5541,0.0
2024-01-19 10:00:00,NVDA,43,0,17,0,58,0,56411,0,0.5163,0.0
2024-01-19 09:00:00,NVDA,23,0,9,0,46,0,1798,0,0.5218,0.0
2024-01-19 08:00:00,NVDA,12,0,6,0,15,0,34287,0,0.5563,0.0
2024-01-19 07:00:00,NVDA,9,0,8,0,19,0,200,0,0.5358,0.0
2024-01-19 06:00:00,NVDA,11,0,4,0,32,0,308046,0,0.5469,0.0
2024-01-19 05:00:00,NVDA,17,0,5,0,33,0,9984,0,0.621,0.0
2024-01-19 04:00:00,NVDA,26,0,28,0,54,0,45056,0,0.5354,0.0
2024-01-19 03:00:00,NVDA,22,0,7,0,21,0,16817,0,0.5274,0.0
2024-01-19 02:00:00,NVDA,24,0,20,0,47,0,50139,0,0.5348,0.0
2024-01-19 01:00:00,NVDA,38,0,45,0,88,0,84781,0,0.5333,0.0
2024-01-19 00:00:00,NVDA,43,0,12,0,69,0,38268,0,0.5665,0.0
2024-01-18 23:00:00,NVDA,56,0,28,0,89,0,354299,0,0.5408,0.0
2024-01-18 22:00:00,NVDA,64,0,34,0,96,0,364747,0,0.5529,0.0
2024-01-18 21:00:00,NVDA,82,0,30,0,152,0,170831,0,0.5549,0.0
2024-01-18 20:00:00,NVDA,105,0,41,0,116,0,131388,0,0.525,0.0
2024-01-18 19:00:00,NVDA,117,0,103,0,131,0,199175,0,0.52,0.0
2024-01-18 18:00:00,NVDA,284,0,118,0,282,0,184892,0,0.5192,0.0
2024-01-18 17:00:00,NVDA,186,0,230,0,183,0,210401,0,0.5466,0.0
2024-01-18 16:00:00,NVDA,148,0,59,0,194,0,248582,0,0.5458,0.0
2024-01-18 15:00:00,NVDA,193,0,41,0,200,0,118469,0,0.5426,0.0
2024-01-18 14:00:00,NVDA,245,0,44,0,187,0,183359,0,0.5418,0.0
2024-01-18 13:00:00,NVDA,143,0,337,0,133,0,156968,0,0.5355,0.0
2024-01-18 12:00:00,NVDA,108,0,32,0,174,0,53209,0,0.5352,0.0
2024-01-18 11:00:00,NVDA,73,0,19,0,90,0,90819,0,0.5671,0.0
2024-01-18 10:00:00,NVDA,28,0,27,0,39,0,12319,0,0.5796,0.0
2024-01-18 09:00:00,NVDA,36,0,39,0,61,0,14422,0,0.5252,0.0
2024-01-18 08:00:00,NVDA,14,0,12,0,27,0,3517,0,0.6723,0.0
2024-01-18 07:00:00,NVDA,18,0,6,0,35,0,3632,0,0.5319,0.0
2024-01-18 06:00:00,NVDA,31,0,57,0,79,0,68622,0,0.584,0.0
2024-01-18 05:00:00,NVDA,13,0,3,0,11,0,1061,0,0.5728,0.0
2024-01-18 04:00:00,NVDA,24,0,27,0,44,0,11250,0,0.5703,0.0
2024-01-18 03:00:00,NVDA,14,0,15,0,39,0,11377,0,0.564,0.0
2024-01-18 02:00:00,NVDA,16,0,9,0,38,0,58360,0,0.5924,0.0
2024-01-18 01:00:00,NVDA,24,0,30,0,54,0,110779,0,0.5271,0.0
